Blocks	Pathways
MAP3K13*RELA*IL12A*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*RELA*IL12B*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*RELA*IL2*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*RELA*IL23A*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*RELA*IL4*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*RELA*IL6*IL6ST	hsa04010-TFTG-hsa04060
MAP3K13*RELA*IL6*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*RELA*IL6*IL6ST	hsa04010-TFTG-hsa04659
MAP3K13*RELA*TSLP*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*TP53*IL11*IL6ST	hsa04010-TFTG-hsa04060
MAP3K13*TP53*IL11*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*TP53*IL15*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*TP53*IL2*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*TP53*IL4*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*TP53*IL6*IL6ST	hsa04010-TFTG-hsa04060
MAP3K13*TP53*IL6*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*TP53*IL6*IL6ST	hsa04010-TFTG-hsa04659
MAP3K13*TP53*LIF*IL6ST	hsa04010-TFTG-hsa04060
MAP3K13*TP53*LIF*IL6ST	hsa04010-TFTG-hsa04550
MAP3K13*TP53*LIF*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*RELA*HIF1A*STC2	hsa04010-hsa04066-TFTG
MAP3K13*NFKB1*HIF1A*STC2	hsa04010-hsa04066-TFTG
MAP3K13*MYC*LBR*DHCR7	hsa04010-TFTG-hsa00100
MAP3K13*CRKL*FOXO3*BIRC5	hsa04010-hsa04722-TFTG
MAP3K13*CRKL*NFKB1*BIRC5	hsa04010-hsa04722-TFTG
MAP3K13*CRKL*RELA*BIRC5	hsa04010-hsa04722-TFTG
MAP3K13*RELA*NFKB1*BIRC5	hsa04010-hsa04064-TFTG
MAP3K13*RELA*BIRC5	hsa04010-hsa04210
