source	target
hsa04919	hsa04722
hsa04919	hsa04926
hsa04919	hsa04210
hsa04919	hsa03440
hsa04919	hsa04917
hsa04919	hsa04915
hsa04919	hsa04115
hsa04620	hsa04630
hsa04620	hsa04010
hsa04620	hsa04062
hsa04620	hsa04060
hsa04620	hsa04659
hsa04620	hsa04066
hsa04620	hsa04068
hsa04620	hsa04064
hsa04620	hsa04210
hsa04620	hsa04390
hsa04620	hsa04668
hsa04620	hsa03440
hsa04620	hsa04621
hsa04620	hsa04920
hsa04620	hsa04625
hsa04620	hsa04926
hsa04660	hsa04630
hsa04660	hsa04010
hsa04660	hsa04060
hsa04660	hsa04659
hsa04660	hsa04066
hsa04660	hsa04068
hsa04660	hsa04064
hsa04660	hsa04210
hsa04660	hsa04390
hsa04660	hsa04668
hsa04660	hsa03440
hsa04660	hsa04621
hsa04660	hsa04920
hsa04660	hsa04014
hsa04660	hsa04062
hsa04660	hsa04151
hsa04660	hsa04620
hsa04660	hsa04625
hsa04660	hsa04926
hsa04662	hsa04630
hsa04662	hsa04060
hsa04662	hsa04659
hsa04662	hsa04210
hsa04662	hsa04390
hsa04662	hsa03440
hsa04662	hsa04621
hsa04662	hsa04920
hsa04662	hsa04066
hsa04662	hsa04064
hsa04662	hsa04625
hsa04662	hsa04926
hsa04662	hsa04010
hsa04662	hsa04014
hsa04662	hsa04062
hsa04662	hsa04151
hsa04662	hsa04620
hsa04662	hsa04310
hsa04662	hsa04550
hsa04662	hsa04068
hsa04662	hsa04919
hsa04014	hsa04010
hsa04014	hsa04310
hsa04014	hsa04630
hsa04014	hsa04060
hsa04014	hsa04659
hsa04014	hsa04550
hsa04014	hsa00100
hsa04014	hsa04068
hsa04014	hsa04620
hsa04014	hsa04722
hsa04014	hsa04071
hsa04014	hsa04625
hsa04014	hsa04390
hsa04014	hsa04210
hsa04014	hsa04012
hsa04014	hsa04657
hsa04014	hsa04660
hsa04014	hsa04668
hsa04014	hsa04912
hsa04014	hsa04926
hsa04014	hsa04024
hsa04014	hsa03440
hsa04014	hsa04621
hsa04014	hsa04920
hsa04014	hsa04066
hsa04014	hsa04064
hsa04015	hsa04919
hsa04015	hsa04010
hsa04015	hsa04151
hsa04015	hsa04012
hsa04015	hsa04014
hsa04015	hsa04390
hsa04015	hsa04915
hsa04015	hsa04926
hsa04015	hsa04068
hsa04015	hsa04071
hsa04015	hsa04062
hsa04015	hsa04210
hsa04015	hsa04620
hsa04015	hsa04660
hsa04015	hsa04662
hsa04015	hsa04722
hsa04015	hsa04917
hsa04015	hsa04912
hsa04015	hsa04921
hsa04015	hsa04625
hsa04015	hsa04657
hsa04015	hsa04024
hsa04151	hsa04010
hsa04151	hsa04012
hsa04151	hsa04014
hsa04151	hsa04919
hsa04151	hsa04915
hsa04151	hsa04062
hsa04151	hsa04620
hsa04151	hsa04660
hsa04151	hsa04662
hsa04151	hsa04722
hsa04151	hsa04926
hsa04151	hsa04068
hsa04151	hsa04024
hsa04151	hsa04625
hsa04151	hsa04657
hsa04151	hsa04921
hsa04151	hsa04621
hsa04151	hsa04920
hsa04151	hsa04630
hsa04151	hsa04060
hsa04151	hsa04659
hsa04151	hsa04066
hsa04151	hsa04064
hsa04151	hsa04210
hsa04151	hsa04390
hsa04151	hsa03440
hsa04151	hsa04310
hsa04151	hsa04550
hsa04151	hsa00100
hsa04151	hsa04071
hsa04151	hsa04115
hsa04012	hsa04630
hsa04012	hsa04060
hsa04012	hsa04659
hsa04012	hsa00100
hsa04012	hsa04390
hsa04012	hsa04210
hsa04012	hsa03440
hsa04012	hsa04010
hsa04012	hsa04919
