,BlockName,Pathway,Sources,Targets,SubpathwayBlocks
32,hsa04010_GADD45A+GADD45B+GADD45G_TP53+TP53+TP53,hsa04010,GADD45A;GADD45B;GADD45G,TP53;TP53;TP53,hsa04010_GADD45A_TP53;hsa04010_GADD45B_TP53;hsa04010_GADD45G_TP53
33,hsa04010_HRAS+HRAS+KRAS+KRAS_ARRB1+ARRB2+ARRB1+ARRB2,hsa04010,HRAS;HRAS;KRAS;KRAS,ARRB1;ARRB2;ARRB1;ARRB2,hsa04010_HRAS_ARRB1;hsa04010_HRAS_ARRB2;hsa04010_KRAS_ARRB1;hsa04010_KRAS_ARRB2
34,hsa04010_HRAS+KRAS_ATF4+ATF4,hsa04010,HRAS;KRAS,ATF4;ATF4,hsa04010_HRAS_ATF4;hsa04010_KRAS_ATF4
35,hsa04010_HRAS+HRAS+KRAS+KRAS_CRK+CRKL+CRK+CRKL,hsa04010,HRAS;HRAS;KRAS;KRAS,CRK;CRKL;CRK;CRKL,hsa04010_HRAS_CRK;hsa04010_HRAS_CRKL;hsa04010_KRAS_CRK;hsa04010_KRAS_CRKL
36,hsa04010_HRAS+KRAS_ELK1+ELK1,hsa04010,HRAS;KRAS,ELK1;ELK1,hsa04010_HRAS_ELK1;hsa04010_KRAS_ELK1
37,hsa04010_HRAS+HRAS+KRAS+KRAS_FOS+JUN+FOS+JUN,hsa04010,HRAS;HRAS;KRAS;KRAS,FOS;JUN;FOS;JUN,hsa04010_HRAS_FOS;hsa04010_HRAS_JUN;hsa04010_KRAS_FOS;hsa04010_KRAS_JUN
38,hsa04010_HRAS+KRAS_JUND+JUND,hsa04010,HRAS;KRAS,JUND;JUND,hsa04010_HRAS_JUND;hsa04010_KRAS_JUND
39,hsa04010_HRAS+KRAS_MYC+MYC,hsa04010,HRAS;KRAS,MYC;MYC,hsa04010_HRAS_MYC;hsa04010_KRAS_MYC
40,hsa04010_HRAS+KRAS_NFATC1+NFATC1,hsa04010,HRAS;KRAS,NFATC1;NFATC1,hsa04010_HRAS_NFATC1;hsa04010_KRAS_NFATC1
41,hsa04010_HRAS+KRAS_NFATC3+NFATC3,hsa04010,HRAS;KRAS,NFATC3;NFATC3,hsa04010_HRAS_NFATC3;hsa04010_KRAS_NFATC3
42,hsa04010_HRAS+HRAS+HRAS+HRAS+KRAS+KRAS+KRAS+KRAS_NFKB1+NFKB2+RELA+RELB+NFKB1+NFKB2+RELA+RELB,hsa04010,HRAS;HRAS;HRAS;HRAS;KRAS;KRAS;KRAS;KRAS,NFKB1;NFKB2;RELA;RELB;NFKB1;NFKB2;RELA;RELB,hsa04010_HRAS_NFKB1;hsa04010_HRAS_NFKB2;hsa04010_HRAS_RELA;hsa04010_HRAS_RELB;hsa04010_KRAS_NFKB1;hsa04010_KRAS_NFKB2;hsa04010_KRAS_RELA;hsa04010_KRAS_RELB
43,hsa04010_HRAS+KRAS_TP53+TP53,hsa04010,HRAS;KRAS,TP53;TP53,hsa04010_HRAS_TP53;hsa04010_KRAS_TP53
44,hsa04010_IL1B+IL1B_NFKB1+RELA,hsa04010,IL1B;IL1B,NFKB1;RELA,hsa04010_IL1B_NFKB1;hsa04010_IL1B_RELA
45,hsa04010_IL1B_TP53,hsa04010,IL1B,TP53,hsa04010_IL1B_TP53
46,hsa04010_MAP2K1_ATF4,hsa04010,MAP2K1,ATF4,hsa04010_MAP2K1_ATF4
47,hsa04010_MAP2K1_ELK1,hsa04010,MAP2K1,ELK1,hsa04010_MAP2K1_ELK1
48,hsa04010_MAP2K1_FOS,hsa04010,MAP2K1,FOS,hsa04010_MAP2K1_FOS
49,hsa04010_MAP2K1_MYC,hsa04010,MAP2K1,MYC,hsa04010_MAP2K1_MYC
50,hsa04010_MAP2K2_ATF4,hsa04010,MAP2K2,ATF4,hsa04010_MAP2K2_ATF4
51,hsa04010_MAP2K2_ELK1,hsa04010,MAP2K2,ELK1,hsa04010_MAP2K2_ELK1
52,hsa04010_MAP2K2_FOS,hsa04010,MAP2K2,FOS,hsa04010_MAP2K2_FOS
53,hsa04010_MAP2K2_MYC,hsa04010,MAP2K2,MYC,hsa04010_MAP2K2_MYC
54,hsa04010_MAP2K4+MAP2K4_ARRB1+ARRB2,hsa04010,MAP2K4;MAP2K4,ARRB1;ARRB2,hsa04010_MAP2K4_ARRB1;hsa04010_MAP2K4_ARRB2
55,hsa04010_MAP2K4_ATF4,hsa04010,MAP2K4,ATF4,hsa04010_MAP2K4_ATF4
56,hsa04010_MAP2K4+MAP2K4_CRK+CRKL,hsa04010,MAP2K4;MAP2K4,CRK;CRKL,hsa04010_MAP2K4_CRK;hsa04010_MAP2K4_CRKL
57,hsa04010_MAP2K4_ELK1,hsa04010,MAP2K4,ELK1,hsa04010_MAP2K4_ELK1
58,hsa04010_MAP2K4+MAP2K4_FOS+JUN,hsa04010,MAP2K4;MAP2K4,FOS;JUN,hsa04010_MAP2K4_FOS;hsa04010_MAP2K4_JUN
59,hsa04010_MAP2K4_JUND,hsa04010,MAP2K4,JUND,hsa04010_MAP2K4_JUND
60,hsa04010_MAP2K4_MYC,hsa04010,MAP2K4,MYC,hsa04010_MAP2K4_MYC
61,hsa04010_MAP2K4_NFATC1,hsa04010,MAP2K4,NFATC1,hsa04010_MAP2K4_NFATC1
62,hsa04010_MAP2K4_NFATC3,hsa04010,MAP2K4,NFATC3,hsa04010_MAP2K4_NFATC3
63,hsa04010_MAP2K4+MAP2K4+MAP2K4+MAP2K4_NFKB1+NFKB2+RELA+RELB,hsa04010,MAP2K4;MAP2K4;MAP2K4;MAP2K4,NFKB1;NFKB2;RELA;RELB,hsa04010_MAP2K4_NFKB1;hsa04010_MAP2K4_NFKB2;hsa04010_MAP2K4_RELA;hsa04010_MAP2K4_RELB
64,hsa04010_MAP2K4_TP53,hsa04010,MAP2K4,TP53,hsa04010_MAP2K4_TP53
65,hsa04010_MAP3K13+MAP3K13_ARRB1+ARRB2,hsa04010,MAP3K13;MAP3K13,ARRB1;ARRB2,hsa04010_MAP3K13_ARRB1;hsa04010_MAP3K13_ARRB2
66,hsa04010_MAP3K13_ATF4,hsa04010,MAP3K13,ATF4,hsa04010_MAP3K13_ATF4
67,hsa04010_MAP3K13+MAP3K13_CRK+CRKL,hsa04010,MAP3K13;MAP3K13,CRK;CRKL,hsa04010_MAP3K13_CRK;hsa04010_MAP3K13_CRKL
68,hsa04010_MAP3K13_ELK1,hsa04010,MAP3K13,ELK1,hsa04010_MAP3K13_ELK1
69,hsa04010_MAP3K13+MAP3K13_FOS+JUN,hsa04010,MAP3K13;MAP3K13,FOS;JUN,hsa04010_MAP3K13_FOS;hsa04010_MAP3K13_JUN
70,hsa04010_MAP3K13_JUND,hsa04010,MAP3K13,JUND,hsa04010_MAP3K13_JUND
71,hsa04010_MAP3K13_MYC,hsa04010,MAP3K13,MYC,hsa04010_MAP3K13_MYC
72,hsa04010_MAP3K13_NFATC1,hsa04010,MAP3K13,NFATC1,hsa04010_MAP3K13_NFATC1
73,hsa04010_MAP3K13_NFATC3,hsa04010,MAP3K13,NFATC3,hsa04010_MAP3K13_NFATC3
74,hsa04010_MAP3K13+MAP3K13+MAP3K13+MAP3K13_NFKB1+NFKB2+RELA+RELB,hsa04010,MAP3K13;MAP3K13;MAP3K13;MAP3K13,NFKB1;NFKB2;RELA;RELB,hsa04010_MAP3K13_NFKB1;hsa04010_MAP3K13_NFKB2;hsa04010_MAP3K13_RELA;hsa04010_MAP3K13_RELB
75,hsa04010_MAP3K13_TP53,hsa04010,MAP3K13,TP53,hsa04010_MAP3K13_TP53
76,hsa04010_MAP3K1+MAP3K1_ARRB1+ARRB2,hsa04010,MAP3K1;MAP3K1,ARRB1;ARRB2,hsa04010_MAP3K1_ARRB1;hsa04010_MAP3K1_ARRB2
77,hsa04010_MAP3K1_ATF4,hsa04010,MAP3K1,ATF4,hsa04010_MAP3K1_ATF4
78,hsa04010_MAP3K1+MAP3K1_CRK+CRKL,hsa04010,MAP3K1;MAP3K1,CRK;CRKL,hsa04010_MAP3K1_CRK;hsa04010_MAP3K1_CRKL
79,hsa04010_MAP3K1_ELK1,hsa04010,MAP3K1,ELK1,hsa04010_MAP3K1_ELK1
80,hsa04010_MAP3K1+MAP3K1_FOS+JUN,hsa04010,MAP3K1;MAP3K1,FOS;JUN,hsa04010_MAP3K1_FOS;hsa04010_MAP3K1_JUN
81,hsa04010_MAP3K1_JUND,hsa04010,MAP3K1,JUND,hsa04010_MAP3K1_JUND
82,hsa04010_MAP3K1_MYC,hsa04010,MAP3K1,MYC,hsa04010_MAP3K1_MYC
83,hsa04010_MAP3K1_NFATC1,hsa04010,MAP3K1,NFATC1,hsa04010_MAP3K1_NFATC1
84,hsa04010_MAP3K1_NFATC3,hsa04010,MAP3K1,NFATC3,hsa04010_MAP3K1_NFATC3
85,hsa04010_MAP3K1+MAP3K1+MAP3K1+MAP3K1_NFKB1+NFKB2+RELA+RELB,hsa04010,MAP3K1;MAP3K1;MAP3K1;MAP3K1,NFKB1;NFKB2;RELA;RELB,hsa04010_MAP3K1_NFKB1;hsa04010_MAP3K1_NFKB2;hsa04010_MAP3K1_RELA;hsa04010_MAP3K1_RELB
86,hsa04010_MAP3K1_TP53,hsa04010,MAP3K1,TP53,hsa04010_MAP3K1_TP53
87,hsa04010_MAPK10+MAPK8+MAPK9_JUN+JUN+JUN,hsa04010,MAPK10;MAPK8;MAPK9,JUN;JUN;JUN,hsa04010_MAPK10_JUN;hsa04010_MAPK8_JUN;hsa04010_MAPK9_JUN
88,hsa04010_MAPK10+MAPK8+MAPK9_MYC+MYC+MYC,hsa04010,MAPK10;MAPK8;MAPK9,MYC;MYC;MYC,hsa04010_MAPK10_MYC;hsa04010_MAPK8_MYC;hsa04010_MAPK9_MYC
89,hsa04010_MAPK10+MAPK10+MAPK8+MAPK8+MAPK9+MAPK9_NFKB1+RELA+NFKB1+RELA+NFKB1+RELA,hsa04010,MAPK10;MAPK10;MAPK8;MAPK8;MAPK9;MAPK9,NFKB1;RELA;NFKB1;RELA;NFKB1;RELA,hsa04010_MAPK10_NFKB1;hsa04010_MAPK10_RELA;hsa04010_MAPK8_NFKB1;hsa04010_MAPK8_RELA;hsa04010_MAPK9_NFKB1;hsa04010_MAPK9_RELA
90,hsa04010_MAPK10+MAPK8+MAPK9_TP53+TP53+TP53,hsa04010,MAPK10;MAPK8;MAPK9,TP53;TP53;TP53,hsa04010_MAPK10_TP53;hsa04010_MAPK8_TP53;hsa04010_MAPK9_TP53
91,hsa04010_MAPK11+MAPK12+MAPK13+MAPK14_TP53+TP53+TP53+TP53,hsa04010,MAPK11;MAPK12;MAPK13;MAPK14,TP53;TP53;TP53;TP53,hsa04010_MAPK11_TP53;hsa04010_MAPK12_TP53;hsa04010_MAPK13_TP53;hsa04010_MAPK14_TP53
92,hsa04010_MAPK1+MAPK3_MYC+MYC,hsa04010,MAPK1;MAPK3,MYC;MYC,hsa04010_MAPK1_MYC;hsa04010_MAPK3_MYC
93,hsa04010_NF1+NF1_ARRB1+ARRB2,hsa04010,NF1;NF1,ARRB1;ARRB2,hsa04010_NF1_ARRB1;hsa04010_NF1_ARRB2
94,hsa04010_NF1_ATF4,hsa04010,NF1,ATF4,hsa04010_NF1_ATF4
95,hsa04010_NF1+NF1_CRK+CRKL,hsa04010,NF1;NF1,CRK;CRKL,hsa04010_NF1_CRK;hsa04010_NF1_CRKL
96,hsa04010_NF1_ELK1,hsa04010,NF1,ELK1,hsa04010_NF1_ELK1
97,hsa04010_NF1+NF1_FOS+JUN,hsa04010,NF1;NF1,FOS;JUN,hsa04010_NF1_FOS;hsa04010_NF1_JUN
98,hsa04010_NF1_JUND,hsa04010,NF1,JUND,hsa04010_NF1_JUND
99,hsa04010_NF1_MYC,hsa04010,NF1,MYC,hsa04010_NF1_MYC
100,hsa04010_NF1_NFATC1,hsa04010,NF1,NFATC1,hsa04010_NF1_NFATC1
101,hsa04010_NF1_NFATC3,hsa04010,NF1,NFATC3,hsa04010_NF1_NFATC3
102,hsa04010_NF1+NF1+NF1+NF1_NFKB1+NFKB2+RELA+RELB,hsa04010,NF1;NF1;NF1;NF1,NFKB1;NFKB2;RELA;RELB,hsa04010_NF1_NFKB1;hsa04010_NF1_NFKB2;hsa04010_NF1_RELA;hsa04010_NF1_RELB
103,hsa04010_NF1_TP53,hsa04010,NF1,TP53,hsa04010_NF1_TP53
104,hsa04010_PRKACA+PRKACB+PRKACG_MYC+MYC+MYC,hsa04010,PRKACA;PRKACB;PRKACG,MYC;MYC;MYC,hsa04010_PRKACA_MYC;hsa04010_PRKACB_MYC;hsa04010_PRKACG_MYC
105,hsa04010_PRKCA+PRKCB+PRKCG_JUN+JUN+JUN,hsa04010,PRKCA;PRKCB;PRKCG,JUN;JUN;JUN,hsa04010_PRKCA_JUN;hsa04010_PRKCB_JUN;hsa04010_PRKCG_JUN
