BlockName	Pathway	Length	Genes
hsa00240_ENTPD4_TYMS	hsa00240	3	DCTD*DUT*ENPP1*ENPP3*ENTPD4*NT5C*NT5C1B-RDH14*NT5C2*NT5E*NT5M*TK1*TK2*TYMS
hsa00240_ENTPD6_RRM2	hsa00240	3	CMPK1*CMPK2*ENPP1*ENPP3*ENTPD1*ENTPD3*ENTPD6*RRM2
hsa00240_ENTPD6_TYMS	hsa00240	3	DCTD*DUT*ENPP1*ENPP3*ENTPD6*NT5C*NT5C1B-RDH14*NT5C2*NT5E*NT5M*TK1*TK2*TYMS
hsa00240_NT5C_RRM2	hsa00240	3	AK9*CMPK1*CMPK2*DCTD*DTYMK*DUT*ENPP1*ENPP3*ENTPD1*ENTPD3*NME1*NME1-NME2*NME2*NME3*NME4*NME6*NME7*NT5C*RRM2
hsa00240_NT5E_RRM2	hsa00240	3	AK9*CMPK1*CMPK2*DCTD*DTYMK*DUT*ENPP1*ENPP3*ENTPD1*ENTPD3*NME1*NME1-NME2*NME2*NME3*NME4*NME6*NME7*NT5E*RRM2
hsa00240_NT5M_RRM2	hsa00240	3	AK9*CMPK1*CMPK2*DCTD*DTYMK*DUT*ENPP1*ENPP3*ENTPD1*ENTPD3*NME1*NME1-NME2*NME2*NME3*NME4*NME6*NME7*NT5M*RRM2
hsa00240_RRM1_TYMS	hsa00240	3	CMPK1*CMPK2*DCTD*RRM1*TYMS
hsa00240_RRM2B_TYMS	hsa00240	3	CMPK1*CMPK2*DCTD*RRM2B*TYMS
hsa00240_RRM2_TYMS	hsa00240	3	CMPK1*CMPK2*DCTD*RRM2*TYMS
hsa00240_TK1_RRM2	hsa00240	3	DTYMK*ENTPD1*ENTPD3*RRM2*TK1*TYMS
hsa00240_TK2_RRM2	hsa00240	3	DTYMK*ENTPD1*ENTPD3*RRM2*TK2*TYMS
hsa00240_UCK1_RRM2	hsa00240	3	CMPK1*CMPK2*ENPP1*ENPP3*ENTPD1*ENTPD3*RRM2*UCK1
hsa00240_UCK1_TYMS	hsa00240	3	ENPP1*ENPP3*TK1*TK2*TYMS*UCK1
hsa00240_UCK2_RRM2	hsa00240	3	CMPK1*CMPK2*ENPP1*ENPP3*ENTPD1*ENTPD3*RRM2*UCK2
hsa00240_UCK2_TYMS	hsa00240	3	ENPP1*ENPP3*TK1*TK2*TYMS*UCK2
hsa00240_UCKL1_RRM2	hsa00240	3	CMPK1*CMPK2*ENPP1*ENPP3*ENTPD1*ENTPD3*RRM2*UCKL1
hsa00240_UCKL1_TYMS	hsa00240	3	ENPP1*ENPP3*TK1*TK2*TYMS*UCKL1
hsa00240_UMPS_RRM2	hsa00240	3	CMPK1*CMPK2*ENPP1*ENPP3*ENTPD1*ENTPD3*RRM2*UMPS
hsa00240_UMPS_TYMS	hsa00240	3	ENPP1*ENPP3*TK1*TK2*TYMS*UMPS
hsa00860_COX10_BLVRA	hsa00860	3	BLVRA*COX10*FECH*HCCS*HMOX1*HMOX2
hsa00860_CPOX_BLVRA	hsa00860	4	BLVRA*CPOX*FECH*HMOX1*HMOX2*PPOX
hsa00860_UROD_BLVRA	hsa00860	4	BLVRA*FECH*HMOX1*HMOX2*PPOX*UROD
hsa00983_CES1_RRM2	hsa00983	5	CDA*CES1*CMPK1*RRM2*TK1*TK2*TYMP
hsa00983_DPYD_RRM2	hsa00983	4	CMPK1*DPYD*RRM2*TK1*TK2*TYMP
hsa00983_NAT1_RRM2	hsa00983	6	CDA*CES1*CMPK1*NAT1*RRM2*TK1*TK2*TYMP
hsa00983_TYMP_RRM2	hsa00983	3	CMPK1*RRM2*TK1*TK2*TYMP
hsa00983_UCK1_RRM2	hsa00983	5	CMPK1*RRM2*TK1*TK2*TYMP*UCK1*UMPS
hsa00983_UCK2_RRM2	hsa00983	5	CMPK1*RRM2*TK1*TK2*TYMP*UCK2*UMPS
hsa00983_UCKL1_RRM2	hsa00983	5	CMPK1*RRM2*TK1*TK2*TYMP*UCKL1*UMPS
hsa00983_UMPS_RRM2	hsa00983	4	CMPK1*RRM2*TK1*TK2*TYMP*UMPS
hsa00983_UPP1_RRM2	hsa00983	4	CMPK1*RRM2*TK1*TK2*TYMP*UPP1
hsa04010_AKT1_ATF2	hsa04010	4	AKT1*ATF2*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_AKT1_ATF4	hsa04010	5	AKT1*ATF4*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14*MAPKAPK2*MAPKAPK3*RPS6KA4*RPS6KA5
hsa04010_AKT1_CDC25B	hsa04010	4	AKT1*CDC25B*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_AKT1_DDIT3	hsa04010	4	AKT1*DDIT3*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_AKT1_ELK1	hsa04010	3	AKT1*ELK1*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT1_FOS	hsa04010	3	AKT1*FOS*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT1_JUN	hsa04010	3	AKT1*JUN*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT1_JUND	hsa04010	3	AKT1*JUND*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT1_MAPT	hsa04010	6	AKT1*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK3*MAPK8IP3*MAPT
hsa04010_AKT1_MAX	hsa04010	4	AKT1*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14*MAX
hsa04010_AKT1_MEF2C	hsa04010	4	AKT1*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14*MEF2C
hsa04010_AKT1_MYC	hsa04010	6	AKT1*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK3*MAPK8IP3*MYC
hsa04010_AKT1_NFATC1	hsa04010	3	AKT1*MAP2K4*MAPK10*MAPK8*MAPK9*NFATC1
hsa04010_AKT1_NFKB1	hsa04010	5	AKT1*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB1
