BlockName	Pathway	Length	Genes
hsa04010_AKT2_NFATC3	hsa04010	3	AKT2*MAP2K4*MAPK10*MAPK8*MAPK9*NFATC3
hsa04010_AKT2_NFKB1	hsa04010	5	AKT2*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB1
hsa04010_AKT2_NFKB2	hsa04010	5	AKT2*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB2
hsa04010_AKT2_RELA	hsa04010	5	AKT2*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*RELA
hsa04010_AKT2_RELB	hsa04010	5	AKT2*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*RELB
hsa04010_AKT2_TP53	hsa04010	3	AKT2*MAP2K4*MAPK10*MAPK8*MAPK9*TP53
hsa04010_AKT3_ELK1	hsa04010	3	AKT3*ELK1*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT3_FOS	hsa04010	3	AKT3*FOS*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT3_JUN	hsa04010	3	AKT3*JUN*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT3_JUND	hsa04010	3	AKT3*JUND*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT3_MYC	hsa04010	6	AKT3*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK3*MAPK8IP3*MYC
hsa04010_AKT3_NFKB1	hsa04010	5	AKT3*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB1
hsa04010_AKT3_NFKB2	hsa04010	5	AKT3*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB2
hsa04010_AKT3_RELA	hsa04010	5	AKT3*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*RELA
hsa04010_AKT3_TP53	hsa04010	3	AKT3*MAP2K4*MAPK10*MAPK8*MAPK9*TP53
hsa04010_ANGPT2_ERBB2	hsa04010	1	ANGPT2*ERBB2
hsa04010_AREG_ERBB2	hsa04010	1	AREG*ERBB2
hsa04010_BDNF_ERBB2	hsa04010	1	BDNF*ERBB2
hsa04010_CASP3_ELK1	hsa04010	4	CASP3*ELK1*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK10*MAPK3*MAPK8*MAPK9
hsa04010_CASP3_FOS	hsa04010	4	CASP3*FOS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_CASP3_JUN	hsa04010	4	CASP3*JUN*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_CASP3_JUND	hsa04010	4	CASP3*JUND*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_CASP3_MYC	hsa04010	4	CASP3*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MYC
hsa04010_CASP3_NFKB1	hsa04010	3	CASP3*CHUK*IKBKB*IKBKG*MAP3K1*NFKB1
hsa04010_CASP3_NFKB2	hsa04010	3	CASP3*CHUK*IKBKB*IKBKG*MAP3K1*NFKB2
hsa04010_CASP3_RELA	hsa04010	3	CASP3*CHUK*IKBKB*IKBKG*MAP3K1*RELA
hsa04010_CASP3_TP53	hsa04010	4	CASP3*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*TP53
hsa04010_CHUK_NFKB1	hsa04010	1	CHUK*NFKB1
hsa04010_CHUK_NFKB2	hsa04010	1	CHUK*NFKB2
hsa04010_CHUK_RELA	hsa04010	1	CHUK*RELA
hsa04010_CSF1_ERBB2	hsa04010	1	CSF1*ERBB2
hsa04010_EFNA1_ERBB2	hsa04010	1	EFNA1*ERBB2
hsa04010_EFNA3_ERBB2	hsa04010	1	EFNA3*ERBB2
hsa04010_EFNA4_ERBB2	hsa04010	1	EFNA4*ERBB2
hsa04010_EFNA5_ERBB2	hsa04010	1	EFNA5*ERBB2
hsa04010_EGF_ERBB2	hsa04010	1	EGF*ERBB2
hsa04010_ELK1_FOS	hsa04010	1	ELK1*FOS
hsa04010_FASLG_ELK1	hsa04010	6	DAXX*ELK1*FAS*FASLG*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_FASLG_FOS	hsa04010	7	DAXX*ELK1*ELK4*FAS*FASLG*FOS*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_FASLG_TP53	hsa04010	6	DAXX*FAS*FASLG*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14*TP53
hsa04010_FAS_ELK1	hsa04010	5	DAXX*ELK1*FAS*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_FAS_FOS	hsa04010	6	DAXX*ELK1*ELK4*FAS*FOS*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_FAS_TP53	hsa04010	5	DAXX*FAS*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14*TP53
hsa04010_FGF10_ERBB2	hsa04010	1	ERBB2*FGF10
hsa04010_FGF16_ERBB2	hsa04010	1	ERBB2*FGF16
hsa04010_FGF18_ERBB2	hsa04010	1	ERBB2*FGF18
hsa04010_FGF19_ERBB2	hsa04010	1	ERBB2*FGF19
hsa04010_FGF1_ERBB2	hsa04010	1	ERBB2*FGF1
hsa04010_FGF20_ERBB2	hsa04010	1	ERBB2*FGF20
hsa04010_FGF21_ERBB2	hsa04010	1	ERBB2*FGF21
hsa04010_FGF2_ERBB2	hsa04010	1	ERBB2*FGF2
hsa04010_FGF4_ERBB2	hsa04010	1	ERBB2*FGF4
hsa04010_FGF7_ERBB2	hsa04010	1	ERBB2*FGF7
hsa04010_FGF8_ERBB2	hsa04010	1	ERBB2*FGF8
hsa04010_FGF9_ERBB2	hsa04010	1	ERBB2*FGF9
hsa04010_FLT3LG_ERBB2	hsa04010	1	ERBB2*FLT3LG
hsa04010_GADD45A_ELK1	hsa04010	4	ELK1*GADD45A*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_GADD45A_FOS	hsa04010	5	ELK1*ELK4*FOS*GADD45A*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_GADD45A_TP53	hsa04010	4	GADD45A*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14*TP53
hsa04010_GADD45B_ELK1	hsa04010	4	ELK1*GADD45B*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_GADD45B_FOS	hsa04010	5	ELK1*ELK4*FOS*GADD45B*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_GADD45B_TP53	hsa04010	4	GADD45B*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14*TP53
