source	target
hsa04625	hsa04810
hsa04625	hsa04912
hsa04625	hsa04915
hsa04625	hsa04072
hsa04625	hsa04510
hsa04625	hsa04540
hsa04625	hsa04921
hsa04625	hsa04068
hsa04625	hsa04350
hsa04625	hsa04310
hsa04625	hsa04110
hsa04625	hsa04390
hsa04625	hsa04550
hsa04625	hsa00983
hsa04625	hsa00230
hsa04625	hsa00240
hsa04625	hsa04114
hsa04625	hsa04530
hsa04625	hsa04666
hsa04625	hsa04917
hsa04625	hsa04210
hsa04625	hsa04725
hsa04625	hsa04071
hsa04625	hsa04140
hsa04625	hsa04722
hsa04625	hsa00860
hsa04625	hsa04144
hsa04625	hsa04141
hsa04657	hsa04926
hsa04657	hsa04062
hsa04657	hsa04064
hsa04657	hsa04620
hsa04657	hsa04621
hsa04657	hsa04622
hsa04657	hsa04625
hsa04657	hsa04660
hsa04657	hsa04662
hsa04657	hsa04722
hsa04657	hsa04630
hsa04657	hsa04915
hsa04657	hsa04066
hsa04657	hsa04210
hsa04660	hsa04010
hsa04660	hsa04668
hsa04660	hsa04630
hsa04660	hsa04218
hsa04660	hsa04115
hsa04660	hsa04151
hsa04660	hsa04919
hsa04660	hsa04625
hsa04660	hsa04064
hsa04660	hsa04066
hsa04660	hsa04912
hsa04660	hsa04915
hsa04660	hsa04014
hsa04660	hsa04015
hsa04660	hsa04020
hsa04660	hsa04921
hsa04660	hsa04928
hsa04660	hsa04510
hsa04660	hsa04810
hsa04660	hsa04144
hsa04660	hsa04350
hsa04660	hsa04068
hsa04660	hsa04110
hsa04660	hsa04310
hsa04660	hsa04390
hsa04660	hsa04012
hsa04660	hsa04550
hsa04660	hsa00230
hsa04660	hsa00983
hsa04660	hsa04114
hsa04660	hsa04530
hsa04660	hsa04666
hsa04660	hsa00232
hsa04660	hsa04917
hsa04660	hsa04210
hsa04660	hsa04261
hsa04660	hsa04141
hsa04660	hsa04722
hsa04660	hsa04140
hsa04660	hsa04071
hsa04660	hsa04926
hsa04660	hsa04062
hsa04660	hsa04620
hsa04660	hsa04621
hsa04660	hsa04920
hsa04660	hsa04072
hsa04660	hsa04540
hsa04660	hsa00240
hsa04660	hsa04725
hsa04660	hsa00860
hsa04660	hsa04022
hsa04668	hsa04010
hsa04668	hsa04218
hsa04668	hsa04115
hsa04668	hsa04151
hsa04668	hsa04919
hsa04668	hsa04625
hsa04668	hsa04066
hsa04668	hsa04630
hsa04668	hsa04912
hsa04668	hsa04915
hsa04668	hsa04014
hsa04668	hsa04015
hsa04668	hsa04020
hsa04668	hsa04921
hsa04668	hsa04928
hsa04668	hsa04510
hsa04668	hsa04810
hsa04668	hsa04144
hsa04668	hsa04110
hsa04668	hsa04310
hsa04668	hsa04350
hsa04668	hsa04390
hsa04668	hsa04012
hsa04668	hsa04550
hsa04668	hsa00230
hsa04668	hsa00983
hsa04668	hsa04114
hsa04668	hsa04068
hsa04668	hsa04530
hsa04668	hsa04666
hsa04668	hsa00232
hsa04668	hsa04917
hsa04668	hsa04210
hsa04668	hsa04064
hsa04668	hsa04261
hsa04668	hsa04141
hsa04668	hsa04722
hsa04668	hsa04140
hsa04668	hsa04071
hsa04668	hsa04024
hsa04668	hsa04922
hsa04668	hsa04072
hsa04668	hsa00240
hsa04668	hsa04725
hsa04668	hsa00860
hsa04668	hsa04660
hsa04668	hsa04062
hsa04668	hsa04152
hsa04668	hsa04371
hsa04668	hsa04620
hsa04668	hsa04662
hsa04668	hsa04910
hsa04722	hsa04010
hsa04722	hsa04926
hsa04722	hsa04151
hsa04722	hsa04310
hsa04722	hsa04390
hsa04722	hsa04550
hsa04722	hsa04660
hsa04722	hsa04071
hsa04722	hsa04115
hsa04722	hsa04625
hsa04722	hsa04919
hsa04722	hsa04218
hsa04722	hsa04922
hsa04722	hsa04064
hsa04722	hsa04066
hsa04722	hsa04621
hsa04722	hsa04920
hsa04722	hsa04014
hsa04722	hsa04015
hsa04722	hsa04020
hsa04722	hsa04810
hsa04722	hsa04630
hsa04722	hsa04510
hsa04722	hsa04144
hsa04722	hsa04915
hsa04722	hsa04012
hsa04722	hsa04928
hsa04722	hsa04912
hsa04722	hsa04072
hsa04722	hsa04540
hsa04722	hsa04921
hsa04722	hsa04110
hsa04722	hsa04068
hsa04722	hsa04350
hsa04722	hsa00983
hsa04722	hsa00230
hsa04722	hsa00240
hsa04722	hsa04114
hsa04722	hsa04530
hsa04722	hsa04666
hsa04722	hsa04917
hsa04722	hsa04657
hsa04722	hsa04210
hsa04722	hsa04140
hsa04722	hsa04141
hsa04722	hsa04725
hsa04722	hsa00860
hsa04722	hsa00232
hsa04722	hsa04261
hsa04912	hsa04010
hsa04912	hsa04071
hsa04912	hsa04218
hsa04912	hsa04620
hsa04912	hsa04625
hsa04912	hsa04657
hsa04912	hsa04660
hsa04912	hsa04926
hsa04912	hsa04151
hsa04912	hsa04919
hsa04912	hsa04115
hsa04912	hsa04668
hsa04912	hsa04066
hsa04912	hsa04014
hsa04912	hsa04015
hsa04912	hsa04630
hsa04912	hsa04928
hsa04912	hsa04915
hsa04912	hsa04020
hsa04912	hsa04810
hsa04912	hsa04510
hsa04912	hsa04144
hsa04912	hsa04921
hsa04912	hsa04068
hsa04912	hsa04917
hsa04912	hsa04110
hsa04912	hsa04310
hsa04912	hsa04390
hsa04912	hsa04012
hsa04912	hsa04350
hsa04912	hsa04550
hsa04912	hsa00983
hsa04912	hsa00230
hsa04912	hsa04114
hsa04912	hsa04530
