,BlockName,Pathway,Sources,Targets,SubpathwayBlocks
32,hsa00240_AK9+NME1+NME2+NME6_TYMS+TYMS+TYMS+TYMS,hsa00240,AK9;NME1;NME2;NME6,TYMS;TYMS;TYMS;TYMS,hsa00240_AK9_TYMS;hsa00240_NME1_TYMS;hsa00240_NME2_TYMS;hsa00240_NME6_TYMS
33,hsa00240_CANT1+ENTPD4+ENTPD6_RRM2+RRM2+RRM2,hsa00240,CANT1;ENTPD4;ENTPD6,RRM2;RRM2;RRM2,hsa00240_CANT1_RRM2;hsa00240_ENTPD4_RRM2;hsa00240_ENTPD6_RRM2
34,hsa00240_CANT1+ENTPD4+ENTPD6_TYMS+TYMS+TYMS,hsa00240,CANT1;ENTPD4;ENTPD6,TYMS;TYMS;TYMS,hsa00240_CANT1_TYMS;hsa00240_ENTPD4_TYMS;hsa00240_ENTPD6_TYMS
35,hsa00240_CMPK1+CMPK2_RRM2+RRM2,hsa00240,CMPK1;CMPK2,RRM2;RRM2,hsa00240_CMPK1_RRM2;hsa00240_CMPK2_RRM2
36,hsa00240_CMPK1+CMPK2_TYMS+TYMS,hsa00240,CMPK1;CMPK2,TYMS;TYMS,hsa00240_CMPK1_TYMS;hsa00240_CMPK2_TYMS
37,hsa00240_CTPS1_RRM2,hsa00240,CTPS1,RRM2,hsa00240_CTPS1_RRM2
38,hsa00240_CTPS1_TYMS,hsa00240,CTPS1,TYMS,hsa00240_CTPS1_TYMS
39,hsa00240_DCK_RRM2,hsa00240,DCK,RRM2,hsa00240_DCK_RRM2
40,hsa00240_DCK_TYMS,hsa00240,DCK,TYMS,hsa00240_DCK_TYMS
41,hsa00240_DCTPP1_RRM2,hsa00240,DCTPP1,RRM2,hsa00240_DCTPP1_RRM2
42,hsa00240_DCTPP1_TYMS,hsa00240,DCTPP1,TYMS,hsa00240_DCTPP1_TYMS
43,hsa00240_DTYMK_RRM2,hsa00240,DTYMK,RRM2,hsa00240_DTYMK_RRM2
44,hsa00240_DTYMK_TYMS,hsa00240,DTYMK,TYMS,hsa00240_DTYMK_TYMS
45,hsa00240_DUT_RRM2,hsa00240,DUT,RRM2,hsa00240_DUT_RRM2
46,hsa00240_DUT_TYMS,hsa00240,DUT,TYMS,hsa00240_DUT_TYMS
47,hsa00240_NT5C+NT5E+NT5M_RRM2+RRM2+RRM2,hsa00240,NT5C;NT5E;NT5M,RRM2;RRM2;RRM2,hsa00240_NT5C_RRM2;hsa00240_NT5E_RRM2;hsa00240_NT5M_RRM2
48,hsa00240_NT5C+NT5E+NT5M_TYMS+TYMS+TYMS,hsa00240,NT5C;NT5E;NT5M,TYMS;TYMS;TYMS,hsa00240_NT5C_TYMS;hsa00240_NT5E_TYMS;hsa00240_NT5M_TYMS
49,hsa00240_RRM1+RRM2B_RRM2+RRM2,hsa00240,RRM1;RRM2B,RRM2;RRM2,hsa00240_RRM1_RRM2;hsa00240_RRM2B_RRM2
50,hsa00240_RRM1+RRM2B+RRM2_TYMS+TYMS+TYMS,hsa00240,RRM1;RRM2B;RRM2,TYMS;TYMS;TYMS,hsa00240_RRM1_TYMS;hsa00240_RRM2B_TYMS;hsa00240_RRM2_TYMS
51,hsa00240_TK1+TK2_RRM2+RRM2,hsa00240,TK1;TK2,RRM2;RRM2,hsa00240_TK1_RRM2;hsa00240_TK2_RRM2
52,hsa00240_TK1+TK2_TYMS+TYMS,hsa00240,TK1;TK2,TYMS;TYMS,hsa00240_TK1_TYMS;hsa00240_TK2_TYMS
53,hsa00240_TYMS_RRM2,hsa00240,TYMS,RRM2,hsa00240_TYMS_RRM2
54,hsa00240_UCK1+UCK2+UCKL1_RRM2+RRM2+RRM2,hsa00240,UCK1;UCK2;UCKL1,RRM2;RRM2;RRM2,hsa00240_UCK1_RRM2;hsa00240_UCK2_RRM2;hsa00240_UCKL1_RRM2
55,hsa00240_UCK1+UCK2+UCKL1_TYMS+TYMS+TYMS,hsa00240,UCK1;UCK2;UCKL1,TYMS;TYMS;TYMS,hsa00240_UCK1_TYMS;hsa00240_UCK2_TYMS;hsa00240_UCKL1_TYMS
56,hsa00240_UMPS_RRM2,hsa00240,UMPS,RRM2,hsa00240_UMPS_RRM2
57,hsa00240_UMPS_TYMS,hsa00240,UMPS,TYMS,hsa00240_UMPS_TYMS
58,hsa00270_PSAT1_PHGDH,hsa00270,PSAT1,PHGDH,hsa00270_PSAT1_PHGDH
59,hsa00860_COX10_BLVRA,hsa00860,COX10,BLVRA,hsa00860_COX10_BLVRA
60,hsa00860_CPOX_BLVRA,hsa00860,CPOX,BLVRA,hsa00860_CPOX_BLVRA
61,hsa00860_CP+FXN_BLVRA+BLVRA,hsa00860,CP;FXN,BLVRA;BLVRA,hsa00860_CP_BLVRA;hsa00860_FXN_BLVRA
62,hsa00860_FECH_BLVRA,hsa00860,FECH,BLVRA,hsa00860_FECH_BLVRA
63,hsa00860_HCCS_BLVRA,hsa00860,HCCS,BLVRA,hsa00860_HCCS_BLVRA
64,hsa00860_HMOX1+HMOX2_BLVRA+BLVRA,hsa00860,HMOX1;HMOX2,BLVRA;BLVRA,hsa00860_HMOX1_BLVRA;hsa00860_HMOX2_BLVRA
65,hsa00860_UROD_BLVRA,hsa00860,UROD,BLVRA,hsa00860_UROD_BLVRA
66,hsa00983_CES1_NAT1,hsa00983,CES1,NAT1,hsa00983_CES1_NAT1
67,hsa00983_CES1_RRM2,hsa00983,CES1,RRM2,hsa00983_CES1_RRM2
68,hsa00983_CMPK1_RRM2,hsa00983,CMPK1,RRM2,hsa00983_CMPK1_RRM2
69,hsa00983_CYP3A4_NAT1,hsa00983,CYP3A4,NAT1,hsa00983_CYP3A4_NAT1
70,hsa00983_CYP3A4_RRM2,hsa00983,CYP3A4,RRM2,hsa00983_CYP3A4_RRM2
71,hsa00983_DPYD_RRM2,hsa00983,DPYD,RRM2,hsa00983_DPYD_RRM2
72,hsa00983_MPO_NAT1,hsa00983,MPO,NAT1,hsa00983_MPO_NAT1
73,hsa00983_MPO_RRM2,hsa00983,MPO,RRM2,hsa00983_MPO_RRM2
74,hsa00983_NAT1_RRM2,hsa00983,NAT1,RRM2,hsa00983_NAT1_RRM2
