BlockName	Pathway	Length	Genes
hsa04010_HRAS_RELB	hsa04010	3	CHUK*HRAS*IKBKB*IKBKG*MAP3K1*RELB
hsa04010_HRAS_TP53	hsa04010	4	HRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*TP53
hsa04010_IL1B_NFKB1	hsa04010	8	CHUK*IKBKB*IKBKG*IL1B*IL1R1*IL1RAP*IRAK1*IRAK4*MAP3K14*MAP3K7*MYD88*NFKB1*TAB1*TRAF6
hsa04010_IL1B_RELA	hsa04010	8	CHUK*IKBKB*IKBKG*IL1B*IL1R1*IL1RAP*IRAK1*IRAK4*MAP3K14*MAP3K7*MYD88*RELA*TAB1*TRAF6
hsa04010_IL1B_TP53	hsa04010	9	IL1B*IL1R1*IL1RAP*IRAK1*IRAK4*MAP2K3*MAP2K6*MAP3K7*MAPK11*MAPK12*MAPK13*MAPK14*MYD88*TAB1*TP53*TRAF6
hsa04010_KRAS_ARRB1	hsa04010	3	ARRB1*KRAS*MAP2K4*MAP3K1
hsa04010_KRAS_ARRB2	hsa04010	3	ARRB2*KRAS*MAP2K4*MAP3K1
hsa04010_KRAS_CRK	hsa04010	3	CRK*KRAS*MAP2K4*MAP3K1
hsa04010_KRAS_CRKL	hsa04010	3	CRKL*KRAS*MAP2K4*MAP3K1
hsa04010_KRAS_ELK1	hsa04010	4	ARAF*BRAF*ELK1*KRAS*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK10*MAPK3*MAPK8*MAPK9*RAF1
hsa04010_KRAS_JUN	hsa04010	4	JUN*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_KRAS_MYC	hsa04010	4	ARAF*BRAF*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MYC*RAF1
hsa04010_KRAS_NFKB1	hsa04010	3	CHUK*IKBKB*IKBKG*KRAS*MAP3K1*NFKB1
hsa04010_KRAS_NFKB2	hsa04010	3	CHUK*IKBKB*IKBKG*KRAS*MAP3K1*NFKB2
hsa04010_KRAS_RELA	hsa04010	3	CHUK*IKBKB*IKBKG*KRAS*MAP3K1*RELA
hsa04010_KRAS_RELB	hsa04010	3	CHUK*IKBKB*IKBKG*KRAS*MAP3K1*RELB
hsa04010_KRAS_TP53	hsa04010	4	KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*TP53
hsa04010_MAP2K4_MYC	hsa04010	5	MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK3*MAPK8IP3*MYC
